competitor_id,competitor_name,sex,country
1,A Ernandos-Ortega,M,Russia
2,A Forezzi,M,
3,A Jay Montanez,M,
4,A Pajewski,M,
5,A Tyuryukov,M,
6,A Yang,M,
7,堂山 明美,F,
8,堤 彩夏,F,
9,堀 匡毅,M,
10,堀内 崇寛,M,
11,堀内 梨生,F,
12,堀口 徹也,M,
13,堀田 彩華,F,
14,堀田 幸子,F,
15,堀越 百恵,F,
16,Šerif Zahirović,M,
17,Šiška Dušan,M,
18,Štěchová Hana,F,
19,Štěpán Hoza,M,
20,Štěpán Jindra,M,
21,Štěpán Vondráček,M,Czechia
22,Štěpánka Židová,F,Czechia
23,Štefan Koľšovský,M,Slovakia
24,Štefan Zvada,M,Czechia
25,Štrbáková Michaela,F,
26,A. Abdullaeva,F,
27,A. Abrook,M,
28,A. Abseitov,M,
29,A. Acebo,M,
30,A. Agafonova,F,
31,A. Aguilar,F,
32,A. Aiawat,F,
33,A. Akira,M,
34,A. Alvarez,M,
35,A. Ambeau,M,
36,A. Amerling,F,USA
37,A. Amos,M,
38,A. Anderson,M,
39,A. Araki,M,
40,A. Arnold,M,
41,A. Astakhov,M,
42,A. Augenstein,M,
43,A. Ausen,M,
44,A. Awong,M,
45,A. Baehr,M,
46,A. Baker,M,
47,A. Ball,M,USA
48,A. Barnes,M,
49,A. Barnett,M,
50,A. Barrett,F,
51,A. Bassette,M,
52,A. Bauyrzhan,M,
53,A. Belevskiy,M,
54,A. Belonogov,M,
55,A. Bennett,M,
56,A. Bernardinelli,M,
57,A. Bianchi,M,
58,A. Biasetti,M,
59,A. Bigalinov,M,
60,A. Biryukov,M,
61,A. Blaogh,F,
62,A. Blount,M,
63,A. Bohannon,F,
64,A. Bollinger,M,
65,A. Bolton,M,
66,A. Borbely,M,
67,A. Boulet,M,Canada
68,A. Boyer,F,
69,A. Breen,M,
70,A. Brewer,F,
71,A. Brockway,F,
72,A. Brookland,F,
73,A. Brown,M,
74,A. Bunescu,M,
75,A. Burdick,M,
76,A. Burroughs,M,
77,A. Cabrerra,M,
78,A. Caldwell,M,
79,A. Cale,M,
80,A. Callan,F,UK
81,A. Calvery,M,
82,A. Carpenter,M,
83,A. Carter,F,
84,A. Chance,M,
85,A. Chappell,M,
86,A. Charbonneau,M,
87,A. Chauvin,F,
88,A. Chin,M,
89,A. Chistov,M,
90,A. Choate,M,
91,A. Chong,F,
92,A. Clark,M,
93,A. Clegg,M,
94,A. Colbert,M,
95,A. Collinson,F,
96,A. Comber,F,
97,A. Connell,M,
98,A. Cook,M,
99,A. Cooper,M,
100,A. Corder,F,USA
101,A. Creech,F,
102,A. Cristo,M,
103,A. Davies,M,
104,A. Davis,F,
105,A. Davis,M,
106,A. Davlenov,M,
107,A. Davydenko,M,
108,A. de la Rosa,M,
109,A. Delamore,F,
110,A. Deleonibus,M,
111,A. Devora,M,
112,A. Doherty,M,
113,A. Doskul,F,
114,A. Doty,M,
115,A. Downs,M,
116,A. Edwards,M,
117,A. Elooff,M,
118,A. Esposito,M,
119,A. Farakhov,M,
120,A. Filimonenko,M,
121,A. Flores,M,
122,A. Fonseca,M,
123,A. Fores,M,
124,A. Fortner,M,
125,A. Fox,M,
126,A. Fujita,M,
127,A. Gafarov,M,
128,A. Gallant,M,
129,A. Gardner,F,
130,A. Gatewood,M,
131,A. George,M,Australia
132,A. Glass,M,
133,A. Glines,F,USA
134,A. Glover,M,
135,A. Gram,M,
136,A. Gray,M,
137,A. Green,M,USA
138,A. Grier,M,
139,A. Grinkevich,F,
140,A. Hadnot,M,
141,A. Hamilton,F,USA
142,A. Hansson,M,Sweden
143,A. Hatch,M,
144,A. Havilana,F,
145,A. Hayes,M,
146,A. Hejnal,M,
