meet_id,meet_name,meet_date,meet_country
1,015 Pennsylvania State Bench Press and Deadlift,5/16/2015,USA
2,1. Runde Bayernliga,1/26/2013,Germany
3,1. Runde Bayernliga KDK,1/12/2018,Germany
4,1. Runde Bundesliga Kraftdreikampf,1/24/2015,Germany
5,1. Runde Bundesliga Kraftdreikampf,1/23/2016,Germany
6,1. Runde Bundesliga Kraftdreikampf,1/21/2017,Germany
7,1. Runde Bundesliga Kraftdreikampf,1/20/2018,Germany
8,1. Wettkampftag Bundesliga Kraftdreikampf,1/19/2019,Germany
9,10th Annual Asa Chambless Powerlifting Classic,2/9/2019,USA
10,10th Annual Forney Jackrabbit Invitational,2/18/2017,USA
11,10th Annual Moody Invitational,1/21/2017,USA
12,10TH ANNUAL NAVASOTA INVATATIONAL,2/22/2014,USA
13,10th Annual Perrin Powerlifting Meet,1/25/2014,USA
14,10th Annual South Florida Open Powerlifting Championships,9/25/2016,USA
15,10th Annual Southside Classic,1/12/2013,USA
16,10th Annual Wildcat Powerlifting Meet,2/1/2014,USA
17,11th Annual Jackrabbit Invitational,2/17/2018,USA
18,11th Annual Moody Invitational,1/20/2018,USA
19,11th Annual Perrin Pirate Meet,1/24/2015,USA
20,11th Annual Southside Classic,1/25/2014,USA
21,11th Annual Whitney Wildcat Invitational,1/31/2015,USA
22,12 Annual Southside Classic,1/24/2015,USA
23,12th Annual Capital City Clash,1/26/2019,USA
24,12th Annual Florida Collegiate Powerlifting Championship,10/25/2015,USA
25,12th Annual Moody Invitational,1/19/2019,USA
26,12th Annual Whitney Inviitational,2/6/2016,USA
27,13th Annual Big K Ohio Powerlifting Championships,11/5/2016,USA
28,13th Annual Coahoma Invitational,2/8/2014,USA
29,13th Annual Florida Collegiate Powerlifting Championships,11/20/2016,USA
30,13th Annual Southside Classic,1/16/2016,USA
31,13th Annual Whitney Wildcat Invitational,1/28/2017,USA
32,14-3A Boys JV District,2/15/2014,USA
33,14-3A Boys Varsity District,2/15/2014,USA
34,14th Annual American Open Powerlifting Championships,12/4/2015,USA
35,14th Annual Florida Collegiate Championships,9/30/2017,USA
36,15th Annual Florida Collegiate Championships,11/18/2018,USA
37,16th Ketchikan Winter Meet,12/10/2016,USA
38,17th Annual Ketchikan Winter Meet,12/9/2017,USA
39,180 Strength Bitesize,3/16/2019,UK
40,18th Annual Ketchikan Winter Meet,12/8/2018,USA
41,19th Hays Powerlifting Meet,1/17/2019,USA
42,19th Ketchikan Spring Powerlifting Meet,5/7/2016,USA
43,1st Annual Battle in the Valley,2/11/2017,USA
44,1st Annual Bordertown Bash,12/3/2016,USA
45,1st Annual Bulldog Invitational,2/5/2011,USA
46,1st Annual Caldwell Powerlifting Meet,2/2/2013,USA
47,1St Annual Camellia City Invitational,6/2/2018,USA
48,1st Annual Connecticut Spring Classic,5/4/2014,USA
49,1st Annual East Coast Powerlifting Championship,4/14/2012,USA
50,1st Annual Gateway Classic,1/13/2019,USA
51,1st Annual Jarrell Tri Meet,1/30/2014,USA
52,1st Annual John Tyler Powerlifting Meet,2/18/2017,USA
